ID;Название;Серьёзность;Модуль;Как воспроизвести;Ожидаемый результат;Фактический результат;Связанные кейсы;Статус
B-1;Список новостей пустой при живых данных на сервере;High;Главная / раздел «Новости»;Авторизоваться. Открыть главную или меню → Новости. На сервере при этом есть новости (в Панели управления они видны).;На главной — 3 последние активные новости, в разделе «Новости» — полный список.;Заголовок и кнопки есть, список пустой («Здесь пока ничего нет...»). Причина: publishDate приходит в секундах, приложение ждёт миллисекунды.;5.1, 5.2, 6.13–6.20, 7.1–7.2, 8.2, 4.2 (проверку в общем списке нельзя завершить);Open
B-2;Фильтр без статусов показывает все новости;Medium;Панель управления. Фильтр;Открыть фильтр панели. Снять галочки «Активна» и «Не активна». Нажать «Фильтровать».;Пустой список или сообщение, что нужно выбрать статус.;Показываются все новости.;6.12;Open
B-3;Нет ограничения длины заголовка и описания;Medium;Создание и редактирование новости;В заголовок ввести 101 или 500 символов (лимит 100). В описание — 1001 или 5000 (лимит 1000). Сохранить.;Сохранение не проходит, поле подсвечено, есть сообщение об ошибке.;Форма сохраняется, новость есть в панели.;2.13, 2.14, 2.39, 2.40, 3.13, 3.14, 3.40, 3.41;Open
B-4;При дате «Сегодня» можно сохранить прошедшее время;Medium;Создание и редактирование новости;Дата = сегодня. Время выбрать или ввести с клавиатуры на 1 минуту или 3 часа раньше текущего. Сохранить.;Прошедшее время нельзя выбрать или оно заменяется на текущее.;Время принимается, новость сохраняется.;2.21, 2.22, 2.26, 2.27, 3.22, 3.23, 3.27, 3.28;Open
